City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Saravan,AM,37.4,39.72,45.65,86,90,6.93
Rikitea,PF,77.25,-23.12,-134.97,100,20,16.26
Taboga,NG,83.55,6.37,5.65,44,0,2.17
Sawakin,SD,76.57,19.1,37.33,82,92,9.66
Shubarshi,KZ,5.25,48.59,57.19,76,76,14.14
Bembibre,ES,44.6,42.62,-6.42,87,0,3.36
Bluff,AU,67.44,-23.58,149.07,68,0,12.57
Punta Arenas,CL,51.8,-53.16,-70.91,50,75,16.11
Thompson,CA,-0.41,55.74,-97.86,84,75,9.17
Clyde River,CA,-0.41,70.47,-68.59,77,75,14.99
Lenger,KZ,30.2,42.18,69.89,100,90,4.47
Busselton,AU,67.21,-33.64,115.35,100,12,16.93
Tymovskoye,RU,7.54,50.85,142.66,51,48,10
Haines Junction,CA,-6.55,60.75,-137.51,78,56,2.06
Albany,US,31.84,42.65,-73.75,78,90,5.82
Sao Filipe,CV,76.35,14.9,-24.5,89,32,10.78
Georgetown,GY,84.2,6.8,-58.16,70,40,16.11
Vaini,IN,76.44,15.34,74.49,67,68,2.39
Bonoua,CI,87.8,5.27,-3.6,58,20,5.82
Faanui,PF,82.69,-16.48,-151.75,100,48,13.47
Hilo,US,66.92,19.71,-155.08,93,90,16.26
Avarua,CK,78.8,-21.21,-159.78,78,40,9.17
Cockburn Town,TC,79.09,21.46,-71.14,100,12,14.47
Khatanga,RU,-0.79,71.98,102.47,68,80,24.09
Lubango,AO,77,-14.92,13.49,53,40,4.7
Los Llanos de Aridane,ES,71.6,28.66,-17.92,56,0,25.28
Dikson,RU,25.09,73.51,80.55,96,88,32.7
Jamestown,AU,58.8,-33.21,138.6,44,0,4.85
Riyadh,SA,59,24.63,46.72,44,0,2.24
Vestmannaeyjar,IS,42.46,63.44,-20.27,97,92,12.12
East London,ZA,73.4,-33.02,27.91,78,40,14.99
Sombrerete,MX,62.89,23.63,-103.64,24,0,2.95
Half Moon Bay,US,52.43,37.46,-122.43,73,90,4.7
Port Hedland,AU,78.8,-20.31,118.58,83,44,5.82
North Bend,US,48.92,43.41,-124.22,92,90,6.93
Atuona,PF,81.21,-9.8,-139.03,100,36,20.51
Ushuaia,AR,49.23,-54.81,-68.31,61,75,32.21
Cidreira,BR,76.71,-30.17,-50.22,80,8,14.81
Mataura,NZ,44.89,-46.19,168.86,86,0,1.83
Dingle,PH,75.72,11,122.67,94,88,3.18
Presidencia Roque Saenz Pena,AR,88.95,-26.79,-60.44,72,0,9.1
Airai,TL,70.86,-8.93,125.41,93,36,2.06
Kahului,US,66.81,20.89,-156.47,87,40,4.7
Pederneiras,BR,78.8,-22.35,-48.78,83,40,8.05
Yarada,IN,73.4,17.65,83.27,73,75,3.36
Celestun,MX,75.18,20.87,-90.4,92,88,15.82
Hobart,AU,66.2,-42.88,147.33,48,40,8.05
Port Lincoln,AU,62.62,-34.72,135.86,93,0,7.2
Tasiilaq,GL,28.4,65.61,-37.64,86,76,3.36
Rome,IT,55.13,41.89,12.48,93,32,2.24
Kaeo,NZ,59.56,-35.1,173.78,92,56,4.63
Tuktoyaktuk,CA,-27.41,69.44,-133.03,74,20,6.93
Klaksvik,FO,44.6,62.23,-6.59,81,32,27.51
Raudeberg,NO,42.8,61.99,5.14,93,92,17.22
Morinville,CA,9.82,53.8,-113.65,78,90,5.82
Tautira,PF,78.8,-17.73,-149.15,74,40,4.7
Anadyr,RU,-23.81,64.73,177.51,74,0,8.95
Bredasdorp,ZA,77,-34.53,20.04,53,0,5.82
Tutoia,BR,87.8,-2.76,-42.27,45,75,13.87
Carnarvon,ZA,83.1,-30.97,22.13,25,68,8.99
Portland,US,43.84,45.52,-122.67,89,90,2.95
Hithadhoo,MV,81.39,-0.6,73.08,100,0,5.75
Santiago,CL,85.12,-33.44,-70.65,35,0,3.36
La Jagua del Pilar,CO,78.6,10.51,-73.07,53,0,4.41
Nefteyugansk,RU,-20.21,61.09,72.61,68,0,4.47
Padang,ID,78.37,-0.92,100.36,100,92,8.55
Ribeira Grande,PT,59,38.52,-28.7,54,20,13.87
Deputatskiy,RU,-47.81,69.3,139.9,0,0,2.73
Awbari,LY,51.24,26.59,12.77,60,0,7.87
Plaridel,PH,78.19,13.96,122.02,100,64,11.34
Sungaipenuh,ID,64.06,-2.08,101.38,95,44,1.5
Palu,ID,65.55,-0.9,119.87,95,76,1.83
Boende,CD,85.39,-0.28,20.88,53,100,1.72
Prince Rupert,CA,39.2,54.32,-130.32,100,90,3.36
Saskylakh,RU,-0.83,71.97,114.09,67,88,15.03
Talnakh,RU,-15.1,69.49,88.39,68,88,17.72
Hermanus,ZA,69.96,-34.42,19.24,64,0,2.73
Kapaa,US,69.75,22.08,-159.32,84,90,8.05
Ishigaki,JP,72.97,24.34,124.16,100,92,23.53
Codrington,AU,57.2,-28.95,153.24,93,24,2.28
Tura,IN,56.32,25.52,90.21,82,0,3.18
Vila do Maio,CV,80.6,15.13,-23.22,51,75,16.11
Iqaluit,CA,-11.21,63.75,-68.52,76,75,19.46
Mar del Plata,AR,81.07,-46.43,-67.52,31,68,20.18
Date,JP,24.8,42.53,140.93,85,75,4.7
Igrim,RU,-13.21,63.19,64.42,63,36,8.32
Cape Town,ZA,75.2,-33.93,18.42,60,0,16.11
Okha,RU,2.86,53.59,142.95,84,0,8.66
Polunochnoye,RU,-13.61,60.87,60.43,63,44,8.77
Grindavik,IS,41,63.84,-22.43,80,90,24.16
Presidente Medici,BR,84.27,-11.18,-61.9,76,20,3.4
Lower Hutt,NZ,60.8,-41.21,174.91,87,92,12.75
Mbekenyera,TZ,70.81,-10,38.98,96,64,1.28
Polovinnoye,RU,-20.68,54.79,65.99,31,20,9.22
Namatanai,PG,79.23,-3.66,152.44,100,32,1.5
Broome,GB,39.31,52.47,1.45,87,20,3.36
Lompoc,US,48.85,34.64,-120.46,93,1,3.36
Kitui,KE,65.1,-1.37,38.02,81,0,5.41
Saurimo,AO,64.87,-9.66,20.4,97,32,0.94
Cabedelo,BR,84.2,-6.97,-34.84,66,75,10.29
Tiksi,RU,-27.74,71.64,128.87,0,0,16.49
Qaanaaq,GL,-21.22,77.48,-69.36,90,0,9.33
Zhuhai,CN,-0.41,40.71,112.04,59,0,4.47
Te Anau,NZ,40.35,-45.41,167.72,85,0,2.39
Sterling,US,43.07,39,-77.4,45,75,13.87
Nikolskoye,RU,26.6,59.7,30.79,92,75,4.47
